,m1,m2,m3,m4,m5,m6
1530034500.00,52124.41,29.70,53.64,36.54,-90.96,0.00
1530035500.00,52130.89,29.31,53.43,36.41,-92.11,0.00
1530036500.00,52134.59,28.81,53.40,36.35,-92.40,0.00
1530037500.00,52134.08,28.16,53.41,36.33,-92.43,0.00
1530038500.00,52133.60,27.17,53.50,36.32,-92.53,0.00
1530039500.00,52133.90,25.96,53.58,36.30,-92.44,0.00
1530040500.00,52133.66,24.60,53.62,36.31,-92.61,0.00
1530041500.00,52134.94,23.16,53.68,36.29,-92.26,0.00
1530042500.00,52135.87,22.11,53.78,36.33,-92.04,0.00
1530043500.00,52136.43,20.70,53.79,36.33,-92.01,0.00
1530044500.00,52135.77,19.81,53.93,36.31,-92.41,0.00
1530045500.00,52136.23,18.48,53.98,36.21,-92.36,0.00
1530046500.00,52137.09,17.78,54.10,36.24,-92.19,0.00
